id,person_id,house,type,constituency_id,start_date,end_date
65fcce3a-70ce-4440-bddc-b5a7f2470b98,06a0508f-249e-42bd-8313-00b743e32c14,Commons,NULL,babb6508-514b-47c8-bb4b-13f9f96e438d,1970-06-18,1974-02-28
e270451b-267b-45e5-920b-b2743b343d6c,06a0508f-249e-42bd-8313-00b743e32c14,Commons,NULL,879c5cbf-3bdc-45ac-8bb9-f2eeca1f671c,1974-02-28,1974-10-10
5f8f9f96-bd9d-403a-896b-4d4067bade4a,06a0508f-249e-42bd-8313-00b743e32c14,Commons,NULL,879c5cbf-3bdc-45ac-8bb9-f2eeca1f671c,1974-10-10,1979-05-03
b3bbb7d2-17d3-46ca-a522-9ceb2fa2f177,06a0508f-249e-42bd-8313-00b743e32c14,Commons,NULL,879c5cbf-3bdc-45ac-8bb9-f2eeca1f671c,1979-05-03,1983-06-09
8f97b158-6e61-4219-9283-a8fdae990a00,d5824db6-de7a-4539-8bee-a2275d599622,Commons,NULL,7b30f2d4-6da9-4807-902e-6a42fe5e1d52,1987-06-11,1992-04-09
50048b00-fbe7-49a8-93ad-15b01819399e,d5824db6-de7a-4539-8bee-a2275d599622,Commons,NULL,7b30f2d4-6da9-4807-902e-6a42fe5e1d52,1992-04-09,1997-05-01
c08a9a2d-d1fe-4a00-b6db-ffe0b069db18,969d083d-0c46-4f24-bb97-73137a21a605,Commons,NULL,101f6664-2d75-49f2-92e6-c337a53b3831,1992-04-09,1997-05-01
fbad3cc8-3ae6-4bf6-8779-e544014f638c,a8121307-35c2-43b5-af3c-096dd476ff5f,Commons,NULL,490cf6f8-33b6-4142-a981-a195c22daf1e,1983-06-09,1987-06-11
858584de-4a97-4480-851d-6281dc59b09f,a8121307-35c2-43b5-af3c-096dd476ff5f,Commons,NULL,490cf6f8-33b6-4142-a981-a195c22daf1e,1987-06-11,1992-04-09
6df6928f-5098-4fca-9745-e1bfd6bc5064,a8121307-35c2-43b5-af3c-096dd476ff5f,Commons,NULL,490cf6f8-33b6-4142-a981-a195c22daf1e,1992-04-09,1997-05-01
99dd5be3-f6d8-4c53-b81c-0f5e1bc818eb,a8121307-35c2-43b5-af3c-096dd476ff5f,Commons,NULL,3cf562bc-b4f9-4867-8605-e7cee3c44d43,2001-06-07,2005-05-05
9cf62acb-fa68-48cf-ab6c-205db1cb13f8,a8121307-35c2-43b5-af3c-096dd476ff5f,Commons,NULL,3cf562bc-b4f9-4867-8605-e7cee3c44d43,2005-05-05,2010-05-06
